ma_vt,ma_vt2,gia_nt2
KGE05009600     ,KG78S2          ,1650000
KGE05009700     ,KG73R5          ,3290000
KGE18003900     ,DI1414          ,4300000
KGE18004700     ,PT1820          ,9680000
KGE18004800     ,PT2022          ,6875000
KGE18004900     ,PT2426          ,11600000
KGE18005801     ,KGE18005801     ,4780000
KGE18006001     ,KGE18006001     ,5400000
KGE18006201     ,KGE18006201     ,6740000
KGH03002106     ,KG-109          ,4200000
KGH03004500     ,KG104A          ,3740000
KGH03004500     ,KG104A          ,3810000
KGH03004800     ,KG108A          ,4400000
KGH03004804     ,KG108AVTU       ,3461250
KGH03004804     ,KG108AVTU       ,6435000
KGH03004805     ,KG-108VTU       ,4149600
KGH03004805     ,KG-108VTU       ,4450000
KGH03004904     ,KG109AVTU       ,4005383
KGH03005200     ,KG100HQ         ,4756150
KGH03005200     ,KG100HQ         ,6110000
KGH03006300     ,KG08            ,4037000
KGH03006301     ,KG08VTU         ,3150000
KGH03006600     ,KGMC09          ,3050000
KGH03007200     ,KG100HP         ,7810000
KGH03008601     ,KG10A3VTU       ,7250000
KGH03010400     ,KG100HM         ,6600000
KGH03010601     ,KG19A3VTU       ,6990000
KGH03010701     ,KG100HGVTU      ,6100000
KGH03011000     ,KG09            ,4224000
KGH03011800     ,KG08G4          ,6292000
KGH03011801     ,KG08G4VTU       ,5436470
KGH03011801     ,KG08G4VTU       ,7007000
KGH03014000     ,KG300PVTU       ,25850000
KGH03014400     ,KG10G5VTU       ,6390000
KGH03015100     ,K3358GVTU       ,1822392
KGH03016700     ,KG100MED        ,10835000
KGH03022300     ,KG10A6S         ,8250000
KGW44009900     ,KG369CT1        ,13068000
KGW44010300     ,KG399DM1        ,8750000
KGW44010400     ,KG400DM2        ,10890000
KGW44010500     ,KG408S2         ,10300000
SPE1800008000   ,SPE1800008000   ,750000
SPH0355000100   ,SPH0355000100   ,220000
SPH0355000300   ,SPH0355000300   ,308000
SPH0355000500   ,SPH0355000500   ,280000
KGB47000700     ,KG6100N         ,3630000
KGB47001900     ,KG6211          ,2486000
KGB47002000     ,KG6110          ,3300000
KGB48002400     ,KG6005          ,600000
KGB48002400     ,KG6005          ,726000
KGB48002700     ,KG6307HN        ,1815000
KGB48002900     ,KG6305PN        ,1050000
KGE05003000     ,KG664Y          ,3146000
KGE05003200     ,KG665Y          ,3333000
KGE05004400     ,KG818           ,3146000
KGE05005400     ,KG69A3          ,3872000
KGE05005500     ,KG69A3N         ,0
KGE05006100     ,KG516N          ,3212000
KGE05007700     ,KG588WP         ,5445000
KGE05008200     ,KG72A3          ,2762500
KGE05008900     ,KG73R2          ,3400000
KGE18005800     ,GD1616          ,7400000
KGE18005802     ,KGE18005802     ,7880000
KGE18005804     ,KGE18005804     ,7400000
KGE18005904     ,KGE18005904     ,7980000
KGE18006100     ,GD2424          ,10000000
KGH01006802     ,KG-120          ,16390000
KGH01006802     ,KG-120          ,18029000
KGH03001111     ,KG-108          ,4664000
KGH03004500     ,KG104A          ,3840000
KGH03004503     ,KG104AVTU       ,4390000
KGH03004800     ,KG108A          ,3750000
KGH03004900     ,KG109A          ,4675000
KGH03004904     ,KG109AVTU       ,3850000
KGH03004904     ,KG109AVTU       ,5390000
KGH03005300     ,KG123HQ         ,22900000
KGH03005300     ,KG123HQ         ,29500000
KGH03005500     ,KG100HA         ,5100000
KGH03006100     ,KG06            ,4037000
KGH03006300     ,KG08            ,3670000
KGH03006400     ,KG110A          ,4200000
KGH03006800     ,KG01G4          ,4400000
KGH03006801     ,KG01G4VTU       ,5291000
KGH03007000     ,VTUTRANG        ,640000
KGH03008200     ,KG300VN         ,14520000
KGH03008601     ,KG10A3VTU       ,5764000
