ma_vt,ma_vt2,gia_nt2
KGE18005704     ,KGE18005704     ,6800000
KGE18006000     ,GD2020          ,8600000
KGE18006100     ,GD2424          ,7950000
KGE18006101     ,KGE18006101     ,7469000
KGH03001706     ,KG-114VTU       ,6512000
KGH03004800     ,KG108A          ,3900000
KGH03004804     ,KG108AVTU       ,4950000
KGH03004900     ,KG109A          ,4350000
KGH03005200     ,KG100HQ         ,5555000
KGH03005202     ,KG100HQVTU      ,5992500
KGH03005202     ,KG100HQVTU      ,6900000
KGH03005400     ,VTUDEN          ,715000
KGH03005500     ,KG100HA         ,6160000
KGH03006000     ,KG103AVTU       ,3500000
KGH03006401     ,KG110AVTU       ,5100000
KGH03006500     ,KG-110          ,3120000
KGH03008200     ,KG300VN         ,13200000
KGH03008501     ,KG09A3VTU       ,8795000
KGH03009700     ,KG100HCVTU      ,6023299.7
KGH03009700     ,KG100HCVTU      ,7055000
KGH03010701     ,KG100HGVTU      ,6900000
KGH03011501     ,KG100HBVTU      ,5032000
KGH03011601     ,KG09G4VTU       ,5560000
KGH03011601     ,KG09G4VTU       ,6116000
KGH03011800     ,KG08G4          ,4605770
KGH03011801     ,KG08G4VTU       ,5929000
KGH03012001     ,KG06G4VTU       ,5445000
KGH03012301     ,KG199HQVTU      ,6600000
KGH03012400     ,VTUDIABH        ,715000
KGH03013501     ,KG19G4MKVTU     ,4700000
KGH03013501     ,KG19G4MKVTU     ,5808000
KGH03014400     ,KG10G5VTU       ,4200000
KGH03015600     ,K6358           ,5451600
KGH03016700     ,KG100MED        ,10702000
KGH03016900     ,KG-08G4VTU      ,5335000
KGH03017400     ,KG100EED        ,10528000
KGH03017400     ,KG100EED        ,10950000
KGH03017400     ,KG100EED        ,11592000
KGH03019900     ,KG10A5VTU       ,8250000
KGW44008900     ,KG399NC1        ,8700000
KGW44009300     ,KG265NC1        ,4567500
KGW44010600     ,KG268DM1        ,0
KGW44010600     ,KG268DM1        ,7500000
KGW44011100     ,KG1098F4        ,67056000
SPE1809000700   ,SPE1809000700   ,5800000
SPH0310400400   ,SPH0310400400   ,250000
SPH0310400400   ,SPH0310400400   ,308000
SPH0366001600   ,VTUXM           ,720000
KGB47001200     ,KG6108          ,4800000
KGB47001800     ,KG6210          ,2190000
KGB47002500     ,KG6104N         ,3993000
KGB48001800     ,KG6307H         ,1650000
KGB48002800     ,KG6305N         ,682000
KGB49000100     ,KG6400          ,1950000
KGE05003000     ,KG664Y          ,2000000
KGE05004400     ,KG818           ,2600000
KGE05004600     ,KG816           ,2200000
KGE05005400     ,KG69A3          ,0
KGE05005400     ,KG69A3          ,2392500
KGE05005800     ,KG518           ,3500000
KGE05008200     ,KG72A3          ,3630000
KGE05008300     ,KG589GP         ,2332200
KGE05008900     ,KG73R2          ,2794000
KGE05010200     ,KG79A3          ,2254200
KGE18004600     ,PT1618          ,8250000
KGE18004800     ,PT2022          ,10714000
KGE18004900     ,PT2426          ,11550000
KGE18005000     ,PT2832          ,9600000
KGE18005000     ,PT2832          ,12700000
KGE18005800     ,GD1616          ,8107000
KGE18006000     ,GD2020          ,8580000
KGE18006002     ,KGE18006002     ,9240000
KGE18006100     ,GD2424          ,10956000
KGH01006802     ,KG-120          ,12500000
KGH03000705     ,KG400VN         ,16940000
KGH03002106     ,KG-109          ,4000000
KGH03003300     ,VTUVANG         ,650000
KGH03004400     ,KG103A          ,2950000
KGH03004503     ,KG104AVTU       ,4100000
KGH03004805     ,KG-108VTU       ,3890250
KGH03004900     ,KG109A          ,4605770
KGH03005200     ,KG100HQ         ,5100000
KGH03005200     ,KG100HQ         ,5547600
KGH03006000     ,KG103AVTU       ,3100000
KGH03006000     ,KG103AVTU       ,4000000
KGH03006400     ,KG110A          ,4605770
KGH03006401     ,KG110AVTU       ,5990000
KGH03006501     ,KG-110VTU       ,3920000
KGH03007200     ,KG100HP         ,6000000
KGH03007900     ,KG02G3          ,620000
KGH03008300     ,KG200VN         ,11220000
KGH03008300     ,KG200VN         ,12342000
KGH03008501     ,KG09A3VTU       ,5750000
KGH03008601     ,KG10A3VTU       ,5250000
KGH03008601     ,KG10A3VTU       ,7210000
KGH03010401     ,KG100HMVTU      ,7381000
KGH03010701     ,KG100HGVTU      ,6360000
KGH03010701     ,KG100HGVTU      ,6368700
KGH03011001     ,KG09VTU         ,4510000
KGH03013600     ,KG100HU         ,5048250
KGH03014200     ,KG100HU+        ,8020870
KGH03016700     ,KG100MED        ,8500000
KGH03016700     ,KG100MED        ,8697600
KGH03016700     ,KG100MED        ,9476000
KGH03017200     ,KG100EO         ,8600000
KGH03017200     ,KG100EO         ,8643000
KGH03021800     ,KG100ES1        ,7141000
KGH03023200     ,KGRP79          ,1500000
KGW44008200     ,KG320IC2        ,9680000
KGW44008400     ,KG400IC2        ,8970000
KGW44008700     ,KG400NC2        ,8900000
KGW44008800     ,KG320NC2        ,7170000
KGW44009600     ,KG328NC2        ,0
KGW44011300     ,KG168NC1        ,4550000
SPE1800007600   ,SPE1800007600   ,1000000
SPH0310400800   ,SPH0310400800   ,275000
SPH0310400800   ,SPH0310400800   ,280000
SPH0355000300   ,SPH0355000300   ,280000
SPH0355000500   ,SPH0355000500   ,275000
SPH0355000900   ,SPH0355000900   ,280000
KGB47000100     ,KG6200          ,2190000
KGB47000300     ,KG6100          ,3630000
KGB47000900     ,KG6107          ,3600000
KGB47001500     ,KG6116          ,2650000
KGB48000200     ,KG6302P         ,950000
KGB48000800     ,KG6001          ,520000
KGB48000900     ,KG6000          ,450000
KGB48001300     ,KG6302          ,770000
KGB48002500     ,KG6006          ,726000
KGB49000100     ,KG6400          ,2365000
KGE05001200     ,KG60N           ,4235000
KGE05003300     ,KG660H          ,2420000
KGE05005200     ,KG69A2          ,0
KGE05005200     ,KG69A2          ,3000000
KGE05005500     ,KG69A3N         ,3400000
KGE05005500     ,KG69A3N         ,3410000
KGE05005600     ,KG68A2          ,3751000
KGE05005700     ,KG68IOT         ,4390000
KGE05006000     ,KG516           ,3333000
KGE05006100     ,KG516N          ,0
KGE05008900     ,KG73R2          ,2312000
KGE18004400     ,DI2830          ,9410000
KGE18004400     ,DI2830          ,10351000
KGE18004504     ,PT1416          ,8160000
KGE18004801     ,KGE18004801     ,6450000
KGE18005704     ,KGE18005704     ,7447000
KGE18005804     ,KGE18005804     ,7370000
KGE18005900     ,GD1818          ,8500000
KGE18006100     ,GD2424          ,9960000
KGE18006200     ,GD2830          ,9300000
KGH01006802     ,KG-120          ,14500000
KGH03001111     ,KG-108          ,3450500
KGH03002106     ,KG-109          ,4620000
KGH03002700     ,KGH03002700     ,1700000
KGH03002700     ,KGH03002700     ,1870000
KGH03003300     ,VTUVANG         ,720000
KGH03004400     ,KG103A          ,3000000
KGH03004400     ,KG103A          ,4059000
KGH03004505     ,KG-104VTU       ,4961000
KGH03005200     ,KG100HQ         ,7370000
KGH03005201     ,KGH03005201     ,6270000
KGH03005202     ,KG100HQVTU      ,6380000
KGH03006401     ,KG110AVTU       ,5050000
KGH03006901     ,KG02G4VTU       ,4880000
KGH03007300     ,VTUDIA          ,792000
KGH03007800     ,KG01G3          ,1309000
KGH03008200     ,KG300VN         ,6900000
KGH03008300     ,KG200VN         ,9500000
KGH03008501     ,KG09A3VTU       ,5700000
KGH03008501     ,KG09A3VTU       ,6770000
KGH03009700     ,KG100HCVTU      ,6511765
KGH03009700     ,KG100HCVTU      ,7400000
KGH03010701     ,KG100HGVTU      ,7381000
KGH03011000     ,KG09            ,2700000
KGH03011500     ,KG100HB         ,7535000
KGH03011601     ,KG09G4VTU       ,5900000
KGH03012000     ,KG06G4          ,4840000
KGH03014200     ,KG100HU+        ,7462500
KGH03014200     ,KG100HU+        ,8750000
KGH03014400     ,KG10G5VTU       ,5248000
KGH03014800     ,KG08G5VTU       ,5180000
KGH03015700     ,KG3500AVTU      ,5600000
KGH03015700     ,KG3500AVTU      ,7689000
KGH03016700     ,KG100MED        ,10000000
KGH03017100     ,KG100ES         ,13090000
KGH03017200     ,KG100EO         ,8800000
KGH03017200     ,KG100EO         ,8998000
KGH03017200     ,KG100EO         ,9075150
KGH03017200     ,KG100EO         ,9990000
KGH03018900     ,KGB002VTU       ,2299866.8
KGH03019900     ,KG10A5VTU       ,7500000
KGH03022300     ,KG10A6S         ,7500000
KGH21175000     ,KGH21175000     ,420000
KGP01003800     ,KG2209PHVTU     ,3675000
KGW44008700     ,KG400NC2        ,7552125
KGW44008700     ,KG400NC2        ,8100000
KGW44008800     ,KG320NC2        ,8679000
KGW44009500     ,KG266NC2        ,5392500
KGW44009600     ,KG328NC2        ,7500000
KGW44010300     ,KG399DM1        ,9600000
KGW44010500     ,KG408S2         ,0
KGW44010500     ,KG408S2         ,10780000
KGW44010600     ,KG268DM1        ,6800000
KGW44010800     ,KG328DM2        ,5400000
KGW44012700     ,KG498KX2        ,8900000
SPE1800007400   ,SPE1800007400   ,750000
SPH0372000800   ,LOI SO 7 - HP   ,275000
KGB47002200     ,KG6115          ,3993000
KGB47002500     ,KG6104N         ,3300000
KGB48000600     ,KG6002          ,630000
KGB48001200     ,KG6304          ,440000
KGB48001900     ,KG6306          ,363000
KGB48002700     ,KG6307HN        ,1650000
KGE05002900     ,KG660Y          ,0
KGE05004100     ,KG68            ,1980000
KGE05004400     ,KG818           ,2860000
KGE05005600     ,KG68A2          ,3410000
KGE05005800     ,KG518           ,3872000
KGE05005900     ,KG518N          ,0
KGE05006000     ,KG516           ,2300000
KGE05007900     ,KG70A2          ,3000000
KGE05008500     ,KG61B50         ,2550000
KGE05008900     ,KG73R2          ,2540000
KGE05009800     ,KG75A3          ,1800000
KGE18004200     ,DI2020          ,6150000
KGE18004200     ,DI2020          ,7447000
KGE18004800     ,PT2022          ,9740000
KGE18005902     ,KGE18005902     ,8540000
KGH01006802     ,KG-120          ,14900000
KGH03000700     ,RO400           ,20020000
KGH03000705     ,KG400VN         ,15400000
KGH03002106     ,KG-109          ,5082000
KGH03002107     ,KG-109VTU       ,4620000
KGH03002107     ,KG-109VTU       ,5340000
KGH03004504     ,KG-104          ,4224000
KGH03004800     ,KG108A          ,2800000
KGH03004805     ,KG-108VTU       ,5390000
KGH03005500     ,KG100HA         ,6000000
KGH03005500     ,KG100HA         ,6776000
KGH03005502     ,KG100HAVTU      ,5560000
KGH03006000     ,KG103AVTU       ,4840000
KGH03006400     ,KG110A          ,4328000
KGH03006501     ,KG-110VTU       ,6237000
KGH03006600     ,KGMC09          ,3360000
KGH03006601     ,KGMC09VTU       ,3740000
KGH03007800     ,KG01G3          ,953600
KGH03008501     ,KG09A3VTU       ,6690000
KGH03009700     ,KG100HCVTU      ,5753600
KGH03009700     ,KG100HCVTU      ,6517750
KGH03010000     ,VTUDIADV        ,792000
KGH03010700     ,KG100HG         ,6715000
KGH03010700     ,KG100HG         ,7975000
KGH03011000     ,KG09            ,2835000
KGH03011000     ,KG09            ,3840000
KGH03011200     ,KG2209P         ,3200000
KGH03011600     ,KG09G4          ,4615000
KGH03011600     ,KG09G4          ,5511000
KGH03011900     ,VTUGREENK       ,715000
KGH03012001     ,KG06G4VTU       ,4522700
KGH03012400     ,VTUDIABH        ,720000
KGH03012400     ,VTUDIABH        ,792000
KGH03013600     ,KG100HU         ,5900000
KGH03014300     ,KG1054T3        ,28622000
KGH03014400     ,KG10G5VTU       ,5433600
KGH03016700     ,KG100MED        ,9850000
KGH03016800     ,KG88AVTU        ,3193600
KGH03016800     ,KG88AVTU        ,4246000
KGH03017100     ,KG100ES         ,7616000
KGH03022900     ,KG300PF         ,48867500
KGH03023100     ,KG100EED-IOT    ,3000000
KGH21124600     ,KGH21124600     ,15000
KGH21130100     ,KGH21130100     ,25000
KGH21138500     ,KGH21138500     ,280000
KGW44001600     ,KG298C2         ,5960000
KGW44008100     ,KG399IC1        ,8800000
KGW44008700     ,KG400NC2        ,7192500
KGW44009500     ,KG266NC2        ,7700000
KGW44009500     ,KG266NC2        ,8470000
KGW44009600     ,KG328NC2        ,5992500
KGW44009900     ,KG369CT1        ,16935424
KGW44010400     ,KG400DM2        ,8339625
KGW44010800     ,KG328DM2        ,9100000
KGW44012900     ,KG265G1         ,6900000
SPE1815000500   ,SPE1815000500   ,4500000
SPE1858000100   ,SPE1858000100   ,3300000
SPH0310400300   ,SPH0310400300   ,220000
SPH0355000500   ,SPH0355000500   ,308000
SPH0372000700   ,LOI SO 6 - HP   ,250000
KGB47000500     ,KG6102          ,4598000
KGB47001100     ,KG6104          ,3630000
KGB47001300     ,KG6105          ,3200000
KGB47001400     ,KG6109          ,3040000
KGB47002000     ,KG6110          ,3000000
KGB48000700     ,KG6003          ,946000
KGB48001800     ,KG6307H         ,1815000
KGB48002100     ,KG6306P         ,627000
KGB48002300     ,KG6305HN        ,1050000
KGE05005300     ,KG69A2N         ,2450000
KGE05005500     ,KG69A3N         ,3751000
KGE05010200     ,KG79A3          ,2200000
KGE18004000     ,DI1616          ,6116000
KGE18006101     ,KGE18006101     ,6170000
KGH03000217     ,KG-103VTU       ,3520000
KGH03001111     ,KG-108          ,4240000
KGH03002107     ,KG-109VTU       ,5874000
KGH03003300     ,VTUVANG         ,792000
KGH03004800     ,KG108A          ,3990000
KGH03004804     ,KG108AVTU       ,3200000
KGH03004805     ,KG-108VTU       ,4900000
KGH03004904     ,KG109AVTU       ,5067270
KGH03005202     ,KG100HQVTU      ,6282255
KGH03005300     ,KG123HQ         ,21136700
KGH03005500     ,KG100HA         ,7535000
KGH03005502     ,KG100HAVTU      ,6300000
KGH03006500     ,KG-110          ,3930650
KGH03006801     ,KG01G4VTU       ,4810000
KGH03007300     ,VTUDIA          ,715000
KGH03008200     ,KG300VN         ,11900000
KGH03008501     ,KG09A3VTU       ,5085300
KGH03009700     ,KG100HCVTU      ,5800000
KGH03010401     ,KG100HMVTU      ,6100000
KGH03010601     ,KG19A3VTU       ,5286300
KGH03011001     ,KG09VTU         ,3250000
KGH03011301     ,KG99AVTU        ,3690000
KGH03011501     ,KG100HBVTU      ,6490000
KGH03011501     ,KG100HBVTU      ,6500000
KGH03011800     ,KG08G4          ,4250000
KGH03012801     ,KG100HKVTU      ,7792200
KGH03012801     ,KG100HKVTU      ,8180000
KGH03014700     ,KG07G4VTU       ,3449600
KGH03017100     ,KG100ES         ,8690000
KGH03020200     ,KG03Q           ,284900
KGH03021800     ,KG100ES1        ,6500000
KGH21122200     ,KGH21122200     ,80000
KGP01008900     ,KGP01008900     ,1540000
KGW44007900     ,KG388NC2        ,9340000
KGW44008400     ,KG400IC2        ,9870000
KGW44008700     ,KG400NC2        ,0
KGW44009300     ,KG265NC1        ,6770000
KGW44009600     ,KG328NC2        ,6292125
KGW44009600     ,KG328NC2        ,6367500
KGW44010300     ,KG399DM1        ,0
KGW44010400     ,KG400DM2        ,7942500
KGW44010600     ,KG268DM1        ,8228000
KGW44011000     ,KG1088S4        ,73920000
KGW44011300     ,KG168NC1        ,3943000
SPH0355000100   ,SPH0355000100   ,264000
SPH0355000300   ,SPH0355000300   ,250000
SPH0372000700   ,LOI SO 6 - HP   ,308000
KGB47000100     ,KG6200          ,2409000
KGB48000200     ,KG6302P         ,1050000
KGB48000700     ,KG6003          ,860000
KGB48001100     ,KG6304H         ,700000
KGB48002000     ,KG6306H         ,605000
KGE05003200     ,KG665Y          ,0
KGE05007700     ,KG588WP         ,2593500
KGE05007900     ,KG70A2          ,1813500
KGE05008100     ,KG72A2          ,3410000
KGE05009700     ,KG73R5          ,2550000
KGE18004000     ,DI1616          ,5560000
KGE18004500     ,PT1416          ,8470000
KGE18004504     ,PT1416          ,8120000
KGE18004504     ,PT1416          ,8976000
KGE18006000     ,GD2020          ,9438000
KGE18006002     ,KGE18006002     ,10164000
KGH03000705     ,KG400VN         ,9950000
KGH03004503     ,KG104AVTU       ,3480000
KGH03004503     ,KG104AVTU       ,4380000
KGH03004503     ,KG104AVTU       ,4510000
KGH03004904     ,KG109AVTU       ,7040000
KGH03006000     ,KG103AVTU       ,4400000
KGH03006200     ,KG06VTU         ,4350000
KGH03006200     ,KG06VTU         ,4785000
KGH03006400     ,KG110A          ,4895000
KGH03006500     ,KG-110          ,4840000
KGH03007000     ,VTUTRANG        ,638000
KGH03007800     ,KG01G3          ,1310000
KGH03007900     ,KG02G3          ,595000
KGH03008601     ,KG10A3VTU       ,7931000
KGH03009700     ,KG100HCVTU      ,6500000
KGH03010801     ,KG10G4VTU       ,5250000
KGH03011001     ,KG09VTU         ,4100000
KGH03011600     ,KG09G4          ,5010000
KGH03012900     ,KG108H          ,4720000
KGH03013600     ,KG100HU         ,7150000
KGH03013600     ,KG100HU         ,9449000
KGH03014400     ,KG10G5VTU       ,6590000
KGH03016700     ,KG100MED        ,8950000
KGH03017200     ,KG100EO         ,14190000
KGH03018000     ,KG108A-UV       ,3294500
KGH03018800     ,KGB002G         ,1801921
KGH03021800     ,KG100ES1        ,6800000
KGP01003800     ,KG2209PHVTU     ,3674000
KGP01008800     ,KGP01008800     ,4466000
KGW44007900     ,KG388NC2        ,10274000
KGW44008100     ,KG399IC1        ,9700000
KGW44008200     ,KG320IC2        ,8000000
KGW44008200     ,KG320IC2        ,8800000
KGW44008900     ,KG399NC1        ,9559000
KGW44010400     ,KG400DM2        ,0
KGW44010700     ,KG268DM2        ,7350000
KGW44010800     ,KG328DM2        ,7612500
KPG22031800     ,KPG22031800     ,4911500
SPE1807000600   ,SPE1807000600   ,4250000
SPH0310400600   ,SPH0310400600   ,308000
SPH0310400800   ,SPH0310400800   ,250000
SPH0355000100   ,SPH0355000100   ,242000
KGB47001100     ,KG6104          ,3300000
KGB47001500     ,KG6116          ,3212000
KGB47001600     ,KG6106          ,2980000
KGB47002100     ,KG6130          ,4790000
KGB48000300     ,KG6300P         ,700000
KGB48001300     ,KG6302          ,700000
KGB48001400     ,KG6303          ,600000
KGB48002100     ,KG6306P         ,520000
KGB48002900     ,KG6305PN        ,950000
KGE05001500     ,KG66            ,2178000
KGE05001700     ,KG64            ,2350000
KGE05002900     ,KG660Y          ,3630000
KGE05004500     ,KG818N          ,3025000
KGE05005600     ,KG68A2          ,2242500
KGE05005800     ,KG518           ,3520000
KGE05006100     ,KG516N          ,1867500
KGE05006300     ,KG68A3          ,3630000
KGE05006700     ,KG64P           ,2882000
KGE05007700     ,KG588WP         ,4950000
KGE05008000     ,KG70A3          ,3200000
KGE05008000     ,KG70A3          ,3520000
KGE05008200     ,KG72A3          ,3993000
KGE05009500     ,KG79A2          ,2000000
KGE18003900     ,DI1414          ,4730000
KGE18004300     ,DI2424          ,7920000
KGE18004602     ,PT1618          ,8300000
KGE18004700     ,PT1820          ,6400000
KGE18005700     ,GD1414          ,7630000
KGH03001111     ,KG-108          ,3623025
KGH03002107     ,KG-109VTU       ,4254600
KGH03002107     ,KG-109VTU       ,4850000
KGH03002700     ,KGH03002700     ,1500000
KGH03004400     ,KG103A          ,3690000
KGH03004500     ,KG104A          ,2960000
KGH03004500     ,KG104A          ,3490000
KGH03005400     ,VTUDEN          ,650000
KGH03005500     ,KG100HA         ,3600000
KGH03006400     ,KG110A          ,4900000
KGH03006401     ,KG110AVTU       ,7260000
KGH03006501     ,KG-110VTU       ,4500000
KGH03007200     ,KG100HP         ,5995000
KGH03007201     ,KG100HPVTU      ,6100000
KGH03007800     ,KG01G3          ,1441000
KGH03008601     ,KG10A3VTU       ,6550000
KGH03008601     ,KG10A3VTU       ,7205000
KGH03010400     ,KG100HM         ,5450000
KGH03011001     ,KG09VTU         ,4961000
KGH03011201     ,KG2209PVTU      ,3600000
KGH03011800     ,KG08G4          ,4990000
KGH03012000     ,KG06G4          ,5720000
KGH03012001     ,KG06G4VTU       ,4950000
KGH03012801     ,KG100HKVTU      ,8550000
KGH03013501     ,KG19G4MKVTU     ,5280000
KGH03013600     ,KG100HU         ,4990000
KGH03013600     ,KG100HU         ,6442500
KGH03013600     ,KG100HU         ,6500000
KGH03014200     ,KG100HU+        ,7950000
KGH03014300     ,KG1054T3        ,26015000
KGH03015700     ,KG3500AVTU      ,4917465
KGH03015700     ,KG3500AVTU      ,5000000
KGH03016800     ,KG88AVTU        ,3449600
KGH03016800     ,KG88AVTU        ,3860000
KGH03017200     ,KG100EO         ,8500000
KGH03017400     ,KG100EED        ,12050000
KGH03023100     ,KG100EED-IOT    ,13500000
KGW44008700     ,KG400NC2        ,8910000
KGW44008900     ,KG399NC1        ,7900000
KGW44009300     ,KG265NC1        ,4595875
KGW44009300     ,KG265NC1        ,5535000
KGW44009900     ,KG369CT1        ,10800000
KGW44010700     ,KG268DM2        ,7990000
KGW44012700     ,KG498KX2        ,9800000
SPH0372001000   ,LOI SO 9 - HP   ,250000
KGB47000400     ,KG6101          ,3700000
KGB47000900     ,KG6107          ,4356000
KGB47001400     ,KG6109          ,2760000
KGB47003000     ,KG6116N         ,2920000
KGB48001100     ,KG6304H         ,847000
KGE05004100     ,KG68            ,2178000
KGE05004500     ,KG818N          ,2500000
KGE05005300     ,KG69A2N         ,3190000
KGE05005800     ,KG518           ,2750000
KGE05007200     ,KG516H          ,1860000
KGE18004100     ,DI1818          ,6721000
KGE18004700     ,PT1820          ,8800000
KGE18004901     ,KGE18004901     ,7620000
KGE18005700     ,GD1414          ,7447000
KGE18005704     ,KGE18005704     ,6770000
KGE18005800     ,GD1616          ,7763000
KGE18005800     ,GD1616          ,7850000
KGE18005900     ,GD1818          ,8778000
KGE18006101     ,KGE18006101     ,6790000
KGH01006802     ,KG-120          ,13752700
KGH03004503     ,KG104AVTU       ,3620000
KGH03004900     ,KG109A          ,4990000
KGH03005202     ,KG100HQVTU      ,7590000
KGH03005502     ,KG100HAVTU      ,5968142.25
KGH03005502     ,KG100HAVTU      ,6930000
KGH03006301     ,KG08VTU         ,3950000
KGH03006301     ,KG08VTU         ,4350000
KGH03006401     ,KG110AVTU       ,4950000
KGH03006501     ,KG-110VTU       ,4462500
KGH03007202     ,KG-100HPVTU     ,5990000
KGH03008501     ,KG09A3VTU       ,5310000
KGH03008601     ,KG10A3VTU       ,4800000
KGH03008601     ,KG10A3VTU       ,5600000
KGH03009700     ,KG100HCVTU      ,8954000
KGH03010000     ,VTUDIADV        ,715000
KGH03010400     ,KG100HM         ,6000000
KGH03010700     ,KG100HG         ,5814900
KGH03010700     ,KG100HG         ,6105000
KGH03011001     ,KG09VTU         ,3400000
KGH03011201     ,KG2209PVTU      ,4900000
KGH03011801     ,KG08G4VTU       ,5390000
KGH03011801     ,KG08G4VTU       ,5890000
KGH03014400     ,KG10G5VTU       ,8789000
KGH03014900     ,K0358           ,1272040
KGH03016900     ,KG-08G4VTU      ,4850000
KGH03017200     ,KG100EO         ,0
KGH03018700     ,KGB002          ,1618105.5
KGH03022300     ,KG10A6S         ,7135500
KGW44001600     ,KG298C2         ,9075000
KGW44008400     ,KG400IC2        ,9900000
KGW44008600     ,KG329IC1        ,5390000
KGW44008700     ,KG400NC2        ,7052125
KGW44008700     ,KG400NC2        ,9801000
KGW44008800     ,KG320NC2        ,7890000
KGW44008900     ,KG399NC1        ,8690000
KGW44009300     ,KG265NC1        ,5490000
KGW44010800     ,KG328DM2        ,0
KGW44011300     ,KG168NC1        ,5010000
KGW44011700     ,KG608A1         ,15910000
KGW44011800     ,KG498C2         ,9500000
KGW44011900     ,KG398C2         ,9801000
KPG22033000     ,KPG22033000     ,72600
KPG22034600     ,KPG22034600     ,19446075
SPE1805001200   ,SPE1805001200   ,3150000
SPE1810000600   ,SPE1810000600   ,6500000
SPH0310400800   ,SPH0310400800   ,308000
SPH0355000700   ,SPH0355000700   ,275000
SPH0372001000   ,LOI SO 9 - HP   ,308000
KGB47000200     ,KG6201          ,2050000
KGB47001000     ,KG6202          ,1820000
KGB47002600     ,KG6105N         ,3200000
KGB47002700     ,KG6107N         ,3600000
KGB48000400     ,KG6300          ,484000
KGB48000500     ,KG6301H         ,680000
KGB48000500     ,KG6301H         ,825000
KGB48000900     ,KG6000          ,500000
KGB48001200     ,KG6304          ,484000
KGB48001700     ,KG6305          ,462000
KGB48002300     ,KG6305HN        ,950000
KGB48002400     ,KG6005          ,660000
KGE05005300     ,KG69A2N         ,2140000
KGE05005900     ,KG518N          ,2242500
KGE05007200     ,KG516H          ,2046000
KGE05007800     ,KG588W          ,1943500
KGE05009300     ,KG76A2          ,1650000
KGE18005901     ,KGE18005901     ,5090000
KGH03003300     ,VTUVANG         ,715000
KGH03004505     ,KG-104VTU       ,4510000
KGH03004804     ,KG108AVTU       ,4500000
KGH03005300     ,KG123HQ         ,32500000
KGH03005502     ,KG100HAVTU      ,4000000
KGH03006401     ,KG110AVTU       ,5555000
KGH03006501     ,KG-110VTU       ,4250000
KGH03006501     ,KG-110VTU       ,5150000
KGH03006901     ,KG02G4VTU       ,4490000
KGH03007200     ,KG100HP         ,6100000
KGH03008601     ,KG10A3VTU       ,4500000
KGH03011501     ,KG100HBVTU      ,7139000
KGH03011601     ,KG09G4VTU       ,5555000
KGH03012801     ,KG100HKVTU      ,7920000
KGH03012801     ,KG100HKVTU      ,8640000
KGH03012900     ,KG108H          ,4290000
KGH03012901     ,KG108HVTU       ,5450000
KGH03013400     ,KG10A4VTU       ,6400000
KGH03013400     ,KG10A4VTU       ,7417600
KGH03014200     ,KG100HU+        ,5683250
KGH03015400     ,K4358           ,3634400
KGH03015600     ,K6358           ,5737600
KGH03017100     ,KG100ES         ,8371650
KGH03019900     ,KG10A5VTU       ,9075000
KGH03020000     ,KG01Q           ,113300
KGH03023000     ,KG600PF         ,94572500
KGP01003801     ,KG2209PH        ,3674000
KGP01007800     ,KG2007          ,10600000
KGW44009600     ,KG328NC2        ,6750000
KGW44009600     ,KG328NC2        ,8300000
KGW44010400     ,KG400DM2        ,8250000
KGW44010500     ,KG408S2         ,11858000
KGW44010800     ,KG328DM2        ,8300000
KGW44011300     ,KG168NC1        ,4100000
KGW44011900     ,KG398C2         ,8910000
SPH0300010400   ,SPH0300010400   ,25960
SPH0355000300   ,SPH0355000300   ,275000
SPH0355000900   ,SPH0355000900   ,275000
SPH0372000800   ,LOI SO 7 - HP   ,250000
KGB47000600     ,KG6103          ,4790000
KGB47000700     ,KG6100N         ,3000000
KGB47002000     ,KG6110          ,3630000
KGB47002100     ,KG6130          ,5269000
KGB47002700     ,KG6107N         ,4356000
KGB48001700     ,KG6305          ,380000
KGB48001800     ,KG6307H         ,1500000
KGB48002000     ,KG6306H         ,500000
KGB48002000     ,KG6306H         ,550000
KGE05002900     ,KG660Y          ,3300000
KGE05003200     ,KG665Y          ,3030000
KGE05004800     ,KG816N          ,2541000
KGE05005900     ,KG518N          ,3410000
KGE05006100     ,KG516N          ,2200000
KGE05007800     ,KG588W          ,4200000
KGE05008100     ,KG72A2          ,3400000
KGE05009700     ,KG73R5          ,2767500
KGE18004200     ,DI2020          ,6770000
KGE18004300     ,DI2424          ,8712000
KGE18004500     ,PT1416          ,5100000
KGE18005700     ,GD1414          ,7000000
KGH03001706     ,KG-114VTU       ,5920000
KGH03002700     ,KGH03002700     ,2057000
KGH03004800     ,KG108A          ,3800000
KGH03004904     ,KG109AVTU       ,5929000
KGH03005300     ,KG123HQ         ,19500000
KGH03005500     ,KG100HA         ,5480000
KGH03006300     ,KG08            ,3340000
KGH03006400     ,KG110A          ,4990000
KGH03007900     ,KG02G3          ,682000
KGH03008501     ,KG09A3VTU       ,6765000
KGH03008601     ,KG10A3VTU       ,7990000
KGH03009700     ,KG100HCVTU      ,6742500
KGH03009700     ,KG100HCVTU      ,8140000
KGH03010301     ,KG07VTU         ,4450000
KGH03010400     ,KG100HM         ,5150000
KGH03011600     ,KG09G4          ,5005000
KGH03011600     ,KG09G4          ,6507000
KGH03011800     ,KG08G4          ,5324000
KGH03012801     ,KG100HKVTU      ,7950000
KGH03013400     ,KG10A4VTU       ,7673600
